x,y
-412.6911267,77.6267532
-411.8521592,77.0827366
-411.0145201,76.5366767
-410.1781893,75.9886152
-409.3431465,75.4385931
-408.5093712,74.8866516
-407.6768425,74.3328314
-406.8455394,73.7771732
-406.0154407,73.2197175
-405.1865246,72.6605045
-404.3587697,72.0995743
-403.5321537,71.5369669
-402.7066547,70.972722
-401.8822501,70.4068791
-401.0589173,69.8394777
-400.2366337,69.2705571
-399.415376,68.7001563
-398.5951213,68.1283142
-397.7758459,67.5550698
-396.9575265,66.9804615
-396.1401386,66.4045286
-395.3236551,65.8273146
-394.5080474,65.2488637
-393.6932866,64.6692206
-392.8793437,64.0884294
-392.0661897,63.5065343
-391.2537951,62.9235794
-390.4421305,62.3396086
-389.6311661,61.7546656
-388.8208723,61.1687941
-388.0112191,60.5820377
-387.2021763,59.9944398
-386.3937138,59.4060439
-385.5858011,58.8168931
-384.7784078,58.2270307
-383.9715034,57.6364999
-383.165057,57.0453435
-382.3590381,56.4536046
-381.5534156,55.861326
-380.7481585,55.2685506
-379.9432359,54.6753212
-379.1386167,54.0816804
-378.3342695,53.4876709
-377.5301632,52.8933355
-376.7262665,52.2987166
-375.922548,51.7038568
-375.1189763,51.1087988
-374.31552,50.5135849
-373.5121476,49.9182578
-372.7088277,49.3228599
-371.9055287,48.7274337
-371.1022192,48.1320218
-370.2988676,47.5366665
-369.4954425,46.9414106
-368.6919124,46.3462965
-367.8882457,45.7513667
-367.0844111,45.1566639
-366.280377,44.5622306
-365.476112,43.96811
-364.6715842,43.3743452
-363.8667619,42.7809798
-363.0616134,42.188057
-362.256107,41.5956205
-361.4502113,41.0037139
-360.6438946,40.4123807
-359.8371256,39.8216647
-359.0298731,39.2316098
-358.2221057,38.6422599
-357.4137924,38.053659
-356.6049022,37.4658512
-355.7954041,36.8788807
-354.9852674,36.292792
-354.1744616,35.7076294
